unit,slope,n
1,0.00017743389671751514,159
2,0.00022196969579793153,111
3,0.00017891642717955634,170
4,0.00021107435158566553,366
5,0.00020198255486154838,158
6,0.00017377274787093441,213
7,0.0002199683520796375,283
8,0.00030462071766928416,148
9,0.00019749823155809393,163
10,0.000215199546823104,167
11,0.00017542724247326277,166
12,0.00021030092314521784,81
13,0.00019794012389950613,151
14,0.00021767994498146493,189
15,0.0003511190240177815,67
16,0.00020526866196344585,177
17,0.00021120787241476813,220
18,0.00014796275106411915,164
19,0.00022670743879611783,219
20,0.0002467073483447044,90
22,0.00015559691975555495,196
24,0.0003724416746583479,68
25,0.0002737017442227644,186
26,0.00018107100402897628,84
27,0.00017579836259354372,189
28,0.000188446435197798,176
29,0.00023508104455834046,154
30,0.00027103096630444327,114
31,0.00013552307196016398,124
32,0.00034353719432084705,96
34,0.0002445703884078185,148
35,0.00024251379673486013,251
36,0.0001519264691008747,194
37,0.000253405372306162,169
40,0.00020305560182824737,169
41,0.0002112286481184777,81
43,0.00021208461950787813,159
46,0.0001497494294464678,224
47,0.00020279890594532168,170
48,0.0003217864447084629,158
49,0.00018769270072445843,263
51,0.00027760917276558716,164
52,0.0002131234876427284,191
53,0.0002587904290304733,137
55,0.0003183190842256458,236
57,0.00025274629805537594,94
58,0.00023298767854528152,152
59,0.00022263513909319334,177
60,0.00014904937194290587,193
62,0.00023088252912221134,175
63,0.0001591676417437706,219
66,0.00018556766857767847,212
67,0.00021526738992947914,100
68,0.0002184366330336221,195
69,0.0002136231446468701,194
70,0.00022565326465873457,191
72,0.00027725346008986663,180
73,0.00024188150872675665,157
74,0.00020406952371829055,154
75,0.00014292359644043324,160
76,0.00021270255982589183,162
77,0.0001921288023396565,206
78,0.0001800950153777348,204
80,0.0001471652692982963,175
81,0.0002151298317300661,92
82,0.0001647423048813161,273
83,0.00017092809075538906,267
84,0.00020453530957765013,318
85,0.00024113654528760297,98
86,0.00025560604376732957,133
87,0.00016541130607066167,143
89,0.00020945764251885374,138
90,0.0002549044888385233,116
92,0.0001722135282013727,115
93,0.0002793605218269641,185
94,0.00021157172478883344,211
95,0.00026900773624819385,105
96,0.0002583759616370437,111
97,0.0002016122896840007,233
98,0.0002300570079113564,140
99,0.0001510390160629489,106
100,0.00017274861452200844,143
101,0.00019234130784456338,152
102,0.00016180042588552908,197
103,0.00022525999040141597,295
105,0.0001762778287382345,198
106,0.0001478132764227173,277
108,0.00022050314116112352,178
109,0.00015049230799595858,227
110,0.00030802023430798235,86
112,0.0002448252790330733,141
113,0.0001922780908194142,176
114,0.00017770303559578956,175
116,0.00021726752105350106,168
117,0.00019626578688811895,204
119,0.0001408089747818818,262
120,0.0001855357940388943,331
121,0.00012960726428954745,212
123,0.0001650906866795925,218
124,0.0001915430880745521,227
125,0.0001566480615994834,153
126,0.0002396260182472998,63
127,0.00014487671008837127,84
128,0.00018454237232131432,205
129,0.0001840137112327158,190
130,0.00017126882120557484,262
131,0.00016980023795084946,203
133,0.0003405766855357983,42
134,0.00014585070567132408,118
135,0.00015071423179537804,228
137,0.00025140470791819953,157
140,0.000219667819972092,173
141,0.0002942435709800645,261
142,0.00019015591460429433,162
143,0.00023714966401659003,178
144,0.00014716467315342515,176
145,0.00029311516764074367,307
146,0.00023053533633802845,162
147,0.00018702130927322893,210
148,0.0001726720192959801,110
149,0.00015742911979408036,148
150,0.0003176121141117139,49
151,0.00017608532177713985,215
152,0.0002038287361113458,84
154,0.0001968382685284012,245
155,0.00022291314588341308,140
156,0.00020543944226469646,216
157,0.00023148435098320193,230
158,0.00015588674712909765,102
159,0.00015340815460895967,240
160,0.00026720559899606365,185
161,0.0002375363519826396,61
163,0.00018401503470275265,285
164,0.00022992937789331294,213
167,0.00022048034192293265,150
168,0.00020283350429242648,173
170,0.0002464549114035909,155
171,0.0001591934963476871,188
173,0.00012407403886461542,262
174,0.00028082338798431804,123
175,0.00013830933884058543,306
176,0.00021181516774095079,170
178,0.00025734736900006797,325
180,0.00023551919459256752,137
181,0.00022045222686142528,157
182,0.0001494025872995536,97
183,0.0001948732797211548,218
184,0.00023941721978742268,176
187,0.0001877188881942597,132
188,0.000150398057966527,264
189,0.00016550756689088172,152
190,0.00019388773081993474,153
191,0.0002165362117753459,296
192,0.0003653504611291141,47
194,0.0002267500183846513,265
196,0.00021032130069688443,200
197,0.00016586947966541356,243
198,0.00028200747858686634,155
199,0.0002131272772807355,325
200,0.00022329432553669354,253
